activity_id,account_id,contact_id,opportunity_id,activity_type,activity_dt,subject,note,campaign_id
ACT-H579ZVT2G5,ACC-F51BI9A9,CON-COS0KS7O,OPP-TKZLQ1J0,call,2023-07-05T22:35:43,Follow-up,Exec sponsor requested summary.,
ACT-JOEO0BKNPL,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,call,2025-07-24T16:42:16,Procurement,Legal concerns.,
ACT-9N3P66X66R,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,note,2025-07-17T21:52:24,Demo,Legal concerns.,
ACT-UPSYRQ2D19,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,call,2025-10-14T15:27:28,Security Review,Exec sponsor requested summary.,
ACT-MRWJTG6P5Q,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,note,2025-08-29T02:27:27,Security Review,Aligned pilot scope.,
ACT-IKNPD23HXD,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,email,2025-08-27T19:44:17,Discovery Call,Shared SOC2.,
ACT-HCH3D5JODV,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,call,2025-08-30T04:57:46,Discovery Call,Aligned pilot scope.,
ACT-YBF0Y5F9G9,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,email,2025-10-19T05:51:33,Demo,Exec sponsor requested summary.,CAM-4SDN83
ACT-N8O9F1UBV7,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,email,2025-08-25T18:29:30,Demo,Legal concerns.,
ACT-ZZKD8UFMIA,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,meeting,2025-09-15T10:09:37,Demo,Reviewed pricing.,CAM-7NWXBC
ACT-J5OOUW3PZ2,ACC-7THE04Q0,CON-4YQV49F0,OPP-CDM1RLNZ,email,2025-09-02T19:37:15,Pilot Discussion,Discussed ROI.,
ACT-P727GR6KN6,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,call,2024-06-26T17:17:18,Pricing,Shared SOC2.,CAM-X3TP23
ACT-A2W8EP8UTY,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,meeting,2024-06-27T16:29:32,Pricing,Shared SOC2.,CAM-0QHJ6R
ACT-8JKGE9FHAZ,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,meeting,2024-07-15T10:09:07,Pilot Discussion,Reviewed pricing.,CAM-XE2CTO
ACT-71WZ92F2W7,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,call,2024-07-27T20:34:20,Follow-up,Legal concerns.,CAM-YW1B7H
ACT-N1XL39Y5Y5,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,call,2024-07-22T23:19:22,Procurement,Exec sponsor requested summary.,
ACT-SSBV330GOM,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,meeting,2024-06-20T01:14:58,Security Review,Exec sponsor requested summary.,CAM-SQW1AH
ACT-UZOGXDKQCL,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,call,2024-07-19T09:38:58,Discovery Call,Aligned pilot scope.,
ACT-3C05TSNESF,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,meeting,2024-06-23T09:39:52,Follow-up,Discussed ROI.,
ACT-461DMP4WET,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,call,2024-07-30T11:00:47,Follow-up,Discussed ROI.,CAM-XX0AW0
ACT-M6IG1SNW28,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,call,2024-07-13T14:15:31,Demo,Shared SOC2.,
ACT-HNEZQHYKP6,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,meeting,2024-07-01T23:30:14,Pilot Discussion,Shared SOC2.,
ACT-2GF0ICQZJ8,ACC-A10QET7W,CON-MAIBIB7B,OPP-DC3PZ1Y2,meeting,2024-07-03T18:28:34,Discovery Call,Discussed ROI.,
ACT-J5T5P5CDS2,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,email,2025-01-22T09:23:40,Security Review,Shared SOC2.,
ACT-A6EB5JP3N4,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,meeting,2025-01-08T05:11:05,Procurement,Discussed ROI.,
ACT-HPF5X346AZ,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,call,2025-02-14T21:50:22,Security Review,Shared SOC2.,
ACT-BRHDIZEL6Z,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,meeting,2025-01-06T06:27:19,Pilot Discussion,Discussed ROI.,
ACT-QDB3Q4XLK4,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,email,2025-01-09T04:46:01,Executive Sync,Shared SOC2.,
ACT-BFPRPZTGL9,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,email,2025-01-23T02:26:51,Pricing,Shared SOC2.,
ACT-ERWKXRTREJ,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,call,2025-01-04T02:56:46,Pricing,Exec sponsor requested summary.,
ACT-CO9M5LOLKY,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,email,2025-02-04T03:14:49,Pricing,Shared SOC2.,CAM-03EE2B
ACT-A99G6Y8UZP,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,email,2025-02-18T03:50:41,Demo,Legal concerns.,CAM-Q6TLP6
ACT-AQKDURB5KQ,ACC-G33TPIXD,CON-QIQP8AYZ,OPP-7Z1C05WF,meeting,2025-02-05T01:27:04,Demo,Legal concerns.,CAM-982Q49
ACT-DKE441CRVR,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,note,2023-11-13T09:05:18,Executive Sync,Discussed ROI.,CAM-NWY1QM
ACT-ZXUJUYHV8R,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,email,2025-06-27T13:38:53,Follow-up,Legal concerns.,CAM-TTW5GW
ACT-6RGGW56ZPM,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,meeting,2023-12-07T20:42:46,Pilot Discussion,Legal concerns.,
ACT-FNECR8TBR3,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,email,2024-09-30T15:42:11,Discovery Call,Reviewed pricing.,
ACT-D1MKBSM913,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,meeting,2023-11-22T01:23:34,Follow-up,Aligned pilot scope.,
ACT-YWREW38IZ4,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,call,2024-09-12T12:40:38,Procurement,Shared SOC2.,
ACT-G6FKFIIYPZ,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,call,2024-11-21T23:28:40,Discovery Call,Reviewed pricing.,
ACT-EBXFW346FM,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,meeting,2024-10-14T17:25:31,Procurement,Reviewed pricing.,
ACT-OOOCK60MBW,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,meeting,2024-06-12T10:42:48,Pilot Discussion,Legal concerns.,CAM-TYYUEX
ACT-DBX1110DM0,ACC-A0CU0873,CON-4KA990UU,OPP-54Z24IG9,call,2023-04-21T20:11:54,Security Review,Shared SOC2.,
ACT-E8W62B7RUF,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,email,2025-07-22T19:19:12,Demo,Aligned pilot scope.,CAM-CZQ5OU
ACT-479L9QLB56,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,call,2025-08-12T06:46:41,Procurement,Exec sponsor requested summary.,
ACT-DFQ6GBN9XZ,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,call,2025-08-09T05:33:33,Pilot Discussion,Reviewed pricing.,CAM-HNQ1L6
ACT-0BFD5WU2US,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,call,2025-07-16T22:10:31,Pilot Discussion,Discussed ROI.,
ACT-CEW63I84BM,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,meeting,2025-07-15T07:28:32,Demo,Shared SOC2.,CAM-7J3ZM3
ACT-9NTV8LLR79,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,call,2025-08-10T19:09:50,Pilot Discussion,Exec sponsor requested summary.,
ACT-75QFY1CQV1,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,email,2025-08-19T05:20:52,Discovery Call,Legal concerns.,
ACT-M3RP04QQKK,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,meeting,2025-08-13T18:20:23,Security Review,Legal concerns.,
ACT-QBT5GXE879,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,email,2025-08-16T11:52:12,Executive Sync,Shared SOC2.,
ACT-VSYPXZED28,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,email,2025-07-17T14:51:33,Executive Sync,Reviewed pricing.,
ACT-VHS09NDUWM,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,meeting,2025-08-04T14:19:41,Pricing,Exec sponsor requested summary.,
ACT-R9WZP5GVVO,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,call,2025-08-21T01:49:13,Follow-up,Reviewed pricing.,
ACT-KIAFNQJLPW,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,call,2025-07-29T07:12:59,Pricing,Legal concerns.,
ACT-ST6ED3OWBL,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,meeting,2025-07-20T05:57:57,Demo,Exec sponsor requested summary.,
ACT-74RIUDBCQ5,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,meeting,2025-08-20T13:19:22,Pilot Discussion,Exec sponsor requested summary.,CAM-QO8OII
ACT-9PHPGVFS0Z,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,email,2025-08-16T20:44:36,Security Review,Discussed ROI.,
ACT-BZR1RWJA05,ACC-JRCQAC35,CON-O49GSRE9,OPP-R8HXWMY4,meeting,2025-08-03T22:21:50,Demo,Legal concerns.,
ACT-0881LIMK15,ACC-PUWTIQ9I,CON-G2WZLST7,OPP-763P5MAK,call,2025-10-07T05:47:43,Pilot Discussion,Exec sponsor requested summary.,
ACT-2F4389CIGR,ACC-PUWTIQ9I,CON-G2WZLST7,OPP-763P5MAK,note,2025-09-12T20:54:41,Executive Sync,Legal concerns.,CAM-YUDSQR
ACT-YNG4SFMA9H,ACC-PUWTIQ9I,CON-G2WZLST7,OPP-763P5MAK,meeting,2025-07-03T17:16:09,Procurement,Exec sponsor requested summary.,CAM-HBHKWH
ACT-YTT8KGW17V,ACC-PUWTIQ9I,CON-G2WZLST7,OPP-763P5MAK,meeting,2025-09-09T22:56:37,Follow-up,Discussed ROI.,
ACT-KYUM1U8MO9,ACC-PUWTIQ9I,CON-G2WZLST7,OPP-763P5MAK,email,2025-09-22T20:12:20,Security Review,Discussed ROI.,
ACT-HG6FL5V7OA,ACC-J0780B7L,CON-BSR45CCO,OPP-HHXTG1ZJ,email,2023-09-01T19:52:45,Executive Sync,Reviewed pricing.,CAM-D5FFCU
